Tx,BW,Interval,Label
57.1,49.1,10.0,0
55.2,47.4,10.0001,0
57.6,49.5,10.0,0
57.5,49.4,10.0008,0
57.8,49.6,10.0,0
57.2,49.1,10.0001,0
56.6,48.6,10.0001,0
57.4,49.3,10.0001,0
57.6,49.4,10.0001,0
58.0,49.8,10.0,0
55.1,47.3,10.0,0
56.3,48.4,10.0,0
57.8,49.6,10.0003,0
58.3,50.1,10.0,0
57.5,49.4,10.0001,0
59.1,50.8,10.0,0
57.8,49.7,10.0,0
58.2,50.0,10.0001,0
56.9,48.9,10.0,0
58.2,50.0,10.0001,0
57.2,49.1,10.0,0
58.4,50.1,10.0,0
57.8,49.7,10.0003,0
57.8,49.6,10.0001,0
58.1,49.9,10.0001,0
57.8,49.7,10.0001,0
56.5,48.5,10.0002,0
57.4,49.3,10.0001,0
58.0,49.8,10.0001,0
55.5,47.7,10.0001,0
57.4,49.3,10.0001,0
57.5,49.4,10.0001,0
54.8,47.0,10.0006,0
56.8,48.8,10.0,0
57.5,49.4,10.0001,0
57.7,49.6,10.0,0
58.1,49.9,10.0001,0
58.2,50.0,10.0001,0
56.8,48.8,10.0001,0
53.2,45.7,10.0003,0
58.2,50.0,10.0003,0
58.0,49.8,10.0001,0
57.5,49.4,10.0001,0
54.2,46.5,10.0002,0
57.8,49.6,10.0,0
57.8,49.7,10.0001,0
57.1,49.1,10.0001,0
57.0,48.9,10.0001,0
55.5,47.7,10.0001,0
59.6,51.2,10.0,0
56.2,48.3,10.0001,0
58.5,50.2,10.0001,0
57.7,49.6,10.0001,0
57.9,49.7,10.0008,0
57.5,49.4,10.0001,0
58.8,50.5,10.0,0
54.8,47.1,10.0001,0
58.2,50.0,10.0001,0
58.4,50.1,10.0001,0
53.4,45.9,10.0001,0
57.3,49.2,10.0003,0
58.7,50.5,10.0001,0
53.9,46.3,10.0,0
57.9,49.7,10.0001,0
58.7,50.4,10.0,0
57.4,49.3,10.0001,0
57.5,49.4,10.0001,0
58.7,50.5,10.0001,0
57.6,49.5,10.0,0
58.4,50.1,10.0,0
57.4,49.3,10.0,0
57.9,49.7,10.0001,0
57.8,49.7,10.0001,0
58.5,50.3,10.0001,0
58.4,50.2,10.0,0
56.8,48.8,10.0003,0
59.2,50.9,10.0001,0
57.8,49.6,10.0001,0
55.0,47.3,10.0001,0
58.6,50.4,10.0001,0
58.2,50.0,10.0,0
57.7,49.6,10.0001,0
57.7,49.6,10.0002,0
56.8,48.8,10.0001,0
58.0,49.9,10.0001,0
57.5,49.4,10.0001,0
57.4,49.3,10.0,0
56.2,48.3,10.0,0
58.7,50.4,10.0001,0
54.5,46.8,10.0001,0
