Scenarios, Accuracy, Model, TSize
1.0,0.994625,GaussianNB,60/40
2.0,0.994625,GaussianNB,60/40
3.0,0.994625,GaussianNB,60/40
4.0,0.994625,GaussianNB,60/40
5.0,0.994625,GaussianNB,60/40
6.0,0.994625,GaussianNB,60/40
7.0,0.994625,GaussianNB,60/40
8.0,0.994625,GaussianNB,60/40
9.0,0.994625,GaussianNB,60/40
10.0,0.994625,GaussianNB,60/40
11.0,0.994625,GaussianNB,60/40
12.0,0.994625,GaussianNB,60/40
13.0,0.994625,GaussianNB,60/40
14.0,0.994625,GaussianNB,60/40
15.0,0.994625,GaussianNB,60/40
16.0,0.994625,GaussianNB,60/40
17.0,0.994625,GaussianNB,60/40
18.0,0.994625,GaussianNB,60/40
19.0,0.994625,GaussianNB,60/40
20.0,0.994625,GaussianNB,60/40
