Scenarios, Recall, Model, TSize
1.0,0.9957574245071126,LinearSVC,60/40
2.0,0.996506114299975,LinearSVC,60/40
3.0,0.997504367357125,LinearSVC,60/40
4.0,0.997504367357125,LinearSVC,60/40
5.0,0.9980034938857,LinearSVC,60/40
6.0,0.9982530571499876,LinearSVC,60/40
7.0,0.99900174694285,LinearSVC,60/40
8.0,0.99900174694285,LinearSVC,60/40
9.0,0.9992513102071375,LinearSVC,60/40
10.0,0.9992513102071375,LinearSVC,60/40
11.0,0.9992513102071375,LinearSVC,60/40
12.0,0.9992513102071375,LinearSVC,60/40
13.0,0.9992513102071375,LinearSVC,60/40
14.0,0.999500873471425,LinearSVC,60/40
15.0,0.999500873471425,LinearSVC,60/40
16.0,0.999500873471425,LinearSVC,60/40
17.0,0.999500873471425,LinearSVC,60/40
18.0,1.0,LinearSVC,60/40
19.0,1.0,LinearSVC,60/40
20.0,1.0,LinearSVC,60/40
