Scenarios, Recall, Model, TSize
1.0,0.9985044865403788,LinearSVC,0
2.0,0.9985044865403788,LinearSVC,0
3.0,0.9985044865403788,LinearSVC,0
4.0,0.9985044865403788,LinearSVC,0
5.0,0.9990029910269193,LinearSVC,0
6.0,0.9995014955134596,LinearSVC,0
7.0,0.9995014955134596,LinearSVC,0
8.0,0.9995014955134596,LinearSVC,0
9.0,0.9995014955134596,LinearSVC,0
10.0,0.9995014955134596,LinearSVC,0
11.0,0.9995014955134596,LinearSVC,0
12.0,0.9995014955134596,LinearSVC,0
13.0,0.9995014955134596,LinearSVC,0
14.0,0.9995014955134596,LinearSVC,0
15.0,0.9995014955134596,LinearSVC,0
16.0,0.9995014955134596,LinearSVC,0
17.0,0.9995014955134596,LinearSVC,0
18.0,0.9995014955134596,LinearSVC,0
19.0,0.9995014955134596,LinearSVC,0
20.0,1.0,LinearSVC,0
