Scenarios, Recall, Model, TSize
1.0,0.9993,RandomForest,70/30
2.0,0.9993,RandomForest,70/30
3.0,0.9993,RandomForest,70/30
4.0,0.9993,RandomForest,70/30
5.0,0.9993,RandomForest,70/30
6.0,0.9993,RandomForest,70/30
7.0,0.9993,RandomForest,70/30
8.0,0.9993,RandomForest,70/30
9.0,0.9993,RandomForest,70/30
10.0,0.9993,RandomForest,70/30
11.0,0.9993,RandomForest,70/30
12.0,0.9993,RandomForest,70/30
13.0,0.9993,RandomForest,70/30
14.0,0.9993,RandomForest,70/30
15.0,0.9993,RandomForest,70/30
16.0,0.9993,RandomForest,70/30
17.0,0.9993,RandomForest,70/30
18.0,0.9993,RandomForest,70/30
19.0,0.9993,RandomForest,70/30
20.0,0.9993,RandomForest,70/30
