Scenarios, Recall, Model, TSize
1.0,0.9995,LogisticRegression,80/20
2.0,0.9995,LogisticRegression,80/20
3.0,0.9995,LogisticRegression,80/20
4.0,0.9995,LogisticRegression,80/20
5.0,0.9995,LogisticRegression,80/20
6.0,0.9995,LogisticRegression,80/20
7.0,0.9995,LogisticRegression,80/20
8.0,0.9995,LogisticRegression,80/20
9.0,0.9995,LogisticRegression,80/20
10.0,0.9995,LogisticRegression,80/20
11.0,0.9995,LogisticRegression,80/20
12.0,0.9995,LogisticRegression,80/20
13.0,0.9995,LogisticRegression,80/20
14.0,0.9995,LogisticRegression,80/20
15.0,0.9995,LogisticRegression,80/20
16.0,0.9995,LogisticRegression,80/20
17.0,0.9995,LogisticRegression,80/20
18.0,0.9995,LogisticRegression,80/20
19.0,0.9995,LogisticRegression,80/20
20.0,0.9995,LogisticRegression,80/20
